locality,decimalLat,decimalLon,institutio,year,n
Bottineau,48.825108,-100.443916,FMNH,1902,41
Minot,48.233311,-101.296646,FMNH,1902,39
Oakes,46.139271,-98.090179,FMNH,1902,34
Minnewaukan,48.0714,-99.252312,FMNH,1902,33
Jamestown,46.911488,-98.709084,FMNH,1902,32
Steele,46.855686,-99.916382,FMNH,1902,28
Braddock,46.565289,-100.091492,FMNH,1902,16
Grafton,48.41219,-97.41066,FMNH,1929,9
Cannonball R,46.199902,-101.188011,FMNH,1887,5
Dickinson,46.880108,-102.789757,FMNH,1886,4
Windsor,46.896383,-99.042508,UCM,1935,4
Battleview,48.577927,-102.791954,FMNH,1940,3
Dickinson,46.880108,-102.789757,FMNH,1887,3
Leeds,48.288899,-99.437614,FMNH,1902,3
"Buchanan, 3 mi. northwest",47.093709,-98.873127,UCM,1935,2
Grafton,48.416667,-97.416667,UCLA,1923,2
Grand Fork; Grand Forks,47.95,-97.083333,ROM,1887,2
"Grand Fork; Grand Forks, University of North Dakota",47.95,-97.083333,ROM,1887,2
Sheyenne,47.828058,-99.119727,UCM,1935,2
Steele,46.854717,-99.915568,UCM,1935,2
3 miles South of Pingree,47.120027,-98.907379,UCM,1935,1
Dickinson,46.880108,-102.789757,FMNH,1885,1
Fort totten,45.983333,-99,UCLA,1921,1
Grafton,48.41222,-97.41028,UAZ,1943,1
Grafton,48.41222,-97.41028,UAZ,1944,1
Grand Fork; Gand Forks,47.95,-97.083333,ROM,1887,1
"Grand Fork; Grand Forks, University of North Dakota",47.95,-97.083333,ROM,1877,1
Grand Forks,47.85,-97.083333,ROM,1887,1
Lansford,48.627548,-101.375716,MSB,1914,1
Mandan,46.827492,-100.889915,FMNH,1915,1
Mandan,46.827492,-100.88961,FMNH,1942,1
Steele,46.855385,-99.915779,FMNH,1902,1
Valley City,46.9238916,-98.0032263,LSUMZ,1949,1
